sexe;preusuel;annais;nombre
1;A;1980;3
1;A;1998;3
1;A;XXXX;21
1;AADAM;2009;4
1;AADAM;2014;3
1;AADAM;2016;4
1;AADAM;2017;4
1;AADAM;2018;3
1;AADAM;XXXX;9
1;AADEL;1976;5
1;AADEL;1978;3
1;AADEL;1980;3
1;AADEL;1981;5
1;AADEL;1982;4
1;AADEL;1983;3
1;AADEL;1987;5
1;AADEL;XXXX;27
1;AADIL;1974;4
1;AADIL;1976;6
1;AADIL;1977;6
1;AADIL;1978;6
1;AADIL;1979;8
1;AADIL;1980;9
1;AADIL;1981;9
1;AADIL;1982;11
1;AADIL;1983;12
1;AADIL;1984;9
1;AADIL;1985;8
1;AADIL;1986;3
1;AADIL;1987;8
1;AADIL;1988;3
1;AADIL;1989;7
1;AADIL;1990;4
1;AADIL;1992;5
1;AADIL;1993;4
1;AADIL;1994;3
1;AADIL;1995;3
1;AADIL;2003;3
1;AADIL;2015;6
1;AADIL;2016;5
1;AADIL;2017;4
1;AADIL;2018;4
1;AADIL;XXXX;31
1;AAHIL;2014;5
1;AAHIL;2015;4
1;AAHIL;2016;6
1;AAHIL;XXXX;5
1;AAKASH;2001;3
1;AAKASH;2011;3
1;AAKASH;XXXX;20
1;AARON;1907;3
1;AARON;1911;3
1;AARON;1931;3
1;AARON;1935;3
1;AARON;1949;3
1;AARON;1960;3
1;AARON;1962;3
1;AARON;1963;4
1;AARON;1964;4
1;AARON;1965;5
1;AARON;1966;3
1;AARON;1970;4
1;AARON;1975;3
1;AARON;1976;6
1;AARON;1977;3
1;AARON;1979;4
1;AARON;1980;6
1;AARON;1981;10
1;AARON;1982;8
1;AARON;1983;8
1;AARON;1984;8
1;AARON;1985;11
1;AARON;1986;10
1;AARON;1987;15
1;AARON;1988;16
1;AARON;1989;14
1;AARON;1990;24
1;AARON;1991;19
1;AARON;1992;30
1;AARON;1993;18
1;AARON;1994;26
1;AARON;1995;43
1;AARON;1996;34
1;AARON;1997;72
1;AARON;1998;77
1;AARON;1999;93
1;AARON;2000;118
1;AARON;2001;135
1;AARON;2002;131
1;AARON;2003;136
1;AARON;2004;335
1;AARON;2005;439
1;AARON;2006;598
1;AARON;2007;910
1;AARON;2008;1380
1;AARON;2009;1355
1;AARON;2010;1606
1;AARON;2011;1763
1;AARON;2012;1726
1;AARON;2013;1907
1;AARON;2014;2053
1;AARON;2015;2156
1;AARON;2016;2369
1;AARON;2017;2382
1;AARON;2018;2249
1;AARON;XXXX;39
1;AARONE;1999;4
1;AARONE;2003;4
1;AARONE;2005;8
1;AARONE;2006;5
1;AARONE;2007;7
1;AARONE;2008;14
1;AARONE;2009;10
1;AARONE;2010;9
1;AARONE;2011;8
1;AARONE;2012;11
1;AARONE;2013;14
1;AARONE;2014;7
1;AARONE;2015;8
1;AARONE;2016;9
1;AARONE;2017;9
1;AARONE;2018;10
1;AARONE;XXXX;10
1;AARONN;2005;3
1;AARONN;2007;3
1;AARONN;2008;6
1;AARONN;2009;4
1;AARONN;2011;7
1;AARONN;2012;3
1;AARONN;2013;5
1;AARONN;2014;5
1;AARONN;2015;8
1;AARONN;2016;6
1;AARONN;2017;16
1;AARONN;2018;9
1;AARONN;XXXX;10
1;AAROUN;2012;4
1;AAROUN;2013;3
1;AAROUN;2014;5
1;AAROUN;2015;4
1;AAROUN;2016;4
1;AAROUN;2017;3
1;AAROUN;2018;7
1;AAROUN;XXXX;8
1;AARUSH;2011;4
1;AARUSH;2017;4
1;AARUSH;2018;8
1;AARUSH;XXXX;8
1;AAYAN;2007;3
1;AAYAN;2009;4
1;AAYAN;2011;4
1;AAYAN;2012;8
1;AAYAN;2013;3
1;AAYAN;2014;5
1;AAYAN;2015;11
1;AAYAN;2016;5
1;AAYAN;2017;7
1;AAYAN;2018;11
1;AAYAN;XXXX;5
1;AAZIZ;1975;3
1;AAZIZ;1978;3
1;AAZIZ;1979;3
1;AAZIZ;1983;7
1;AAZIZ;XXXX;14
1;AB;1952;3
1;AB;1953;4
1;AB;1954;5
1;AB;1955;4
1;AB;1957;3
1;AB;1958;4
1;AB;1959;7
1;AB;1962;8
1;AB;1963;4
1;AB;1964;3
1;AB;1970;5
1;AB;XXXX;27
1;AB-DEL;1951;3
1;AB-DEL;1952;3
1;AB-DEL;1961;4
1;AB-DEL;1967;3
1;AB-DEL;1969;3
1;AB-DEL;XXXX;29
1;ABABACAR;2009;3
1;ABABACAR;2013;3
1;ABABACAR;2014;3
1;ABABACAR;2015;6
1;ABABACAR;2016;3
1;ABABACAR;2017;3
1;ABABACAR;2018;3
1;ABABACAR;XXXX;37
1;ABAKAR;2010;3
1;ABAKAR;2017;4
1;ABAKAR;2018;3
1;ABAKAR;XXXX;18
1;ABANE;2005;3
1;ABANE;XXXX;17
1;ABAS;1992;3
1;ABAS;2013;5
1;ABAS;2018;3
1;ABAS;XXXX;33
1;ABASS;2003;3
1;ABASS;2004;4
1;ABASS;2005;3
1;ABASS;2007;3
1;ABASS;2008;7
1;ABASS;2011;5
1;ABASS;2012;8
1;ABASS;2013;10
1;ABASS;2014;4
1;ABASS;2015;6
1;ABASS;2017;7
1;ABASS;2018;7
1;ABASS;XXXX;37
1;ABASSE;1963;3
1;ABASSE;1981;3
1;ABASSE;1982;7
1;ABASSE;1983;5
1;ABASSE;1987;3
1;ABASSE;1988;3
1;ABASSE;1991;3
1;ABASSE;1992;5
1;ABASSE;1999;3
1;ABASSE;2008;3
1;ABASSE;2010;4
1;ABASSE;2012;5
1;ABASSE;2015;4
1;ABASSE;2017;3
1;ABASSE;2018;3
1;ABASSE;XXXX;49
1;ABBAS;1960;6
1;ABBAS;1961;7
1;ABBAS;1962;9
1;ABBAS;1963;3
1;ABBAS;1964;5
1;ABBAS;1965;3
1;ABBAS;1968;4
1;ABBAS;1972;5
1;ABBAS;1973;3
1;ABBAS;1976;5
1;ABBAS;1977;4
1;ABBAS;1980;6
1;ABBAS;1981;3
1;ABBAS;1983;6
1;ABBAS;1985;6
1;ABBAS;1986;5
1;ABBAS;1987;9
1;ABBAS;1988;4
1;ABBAS;1990;3
1;ABBAS;1991;7
1;ABBAS;1992;4
1;ABBAS;1993;4
1;ABBAS;1995;3
1;ABBAS;1999;3
1;ABBAS;2000;7
1;ABBAS;2003;5
1;ABBAS;2005;4
1;ABBAS;2006;5
1;ABBAS;2008;4
1;ABBAS;2009;5
1;ABBAS;2010;4
1;ABBAS;2012;7
1;ABBAS;2013;6
1;ABBAS;2014;10
1;ABBAS;2015;7
1;ABBAS;2016;8
1;ABBAS;2017;15
1;ABBAS;2018;8
1;ABBAS;XXXX;36
1;ABBES;1955;4
1;ABBES;1958;7
1;ABBES;1959;4
1;ABBES;1960;5
1;ABBES;1961;9
1;ABBES;1962;16
1;ABBES;1963;9
1;ABBES;1964;11
1;ABBES;1965;11
1;ABBES;1966;8
1;ABBES;1967;9
1;ABBES;1968;7
1;ABBES;1969;11
1;ABBES;1970;6
1;ABBES;1971;5
1;ABBES;1972;17
1;ABBES;1973;5
1;ABBES;1974;8
1;ABBES;1975;5
1;ABBES;1976;6
1;ABBES;1977;7
1;ABBES;1978;7
1;ABBES;1979;4
1;ABBES;1980;6
1;ABBES;1981;3
1;ABBES;1982;3
1;ABBES;1984;10
1;ABBES;1985;4
1;ABBES;1989;7
1;ABBES;1990;3
1;ABBES;1991;7
1;ABBES;1992;4
1;ABBES;1995;3
1;ABBES;1999;3
1;ABBES;2001;4
1;ABBES;2002;3
1;ABBES;2003;3
1;ABBES;2004;4
1;ABBES;2007;3
1;ABBES;2010;3
1;ABBES;2011;3
1;ABBES;2013;4
1;ABBES;2014;3
1;ABBES;XXXX;32
1;ABD;1947;3
1;ABD;1949;5
1;ABD;1950;5
1;ABD;1951;8
1;ABD;1952;14
1;ABD;1953;9
1;ABD;1954;20
1;ABD;1955;12
1;ABD;1956;22
1;ABD;1957;27
1;ABD;1958;31
1;ABD;1959;26
1;ABD;1960;28
1;ABD;1961;20
1;ABD;1962;34
1;ABD;1963;37
1;ABD;1964;19
1;ABD;1965;18
1;ABD;1966;18
1;ABD;1967;20
1;ABD;1968;29
1;ABD;1969;21
1;ABD;1970;25
1;ABD;1971;27
1;ABD;1972;26
1;ABD;1973;15
1;ABD;1974;17
1;ABD;1975;17
1;ABD;1976;17
1;ABD;1977;20
1;ABD;1978;18
1;ABD;1979;20
1;ABD;1980;23
1;ABD;1981;19
1;ABD;1982;22
1;ABD;1983;14
1;ABD;1984;23
1;ABD;1985;13
1;ABD;1986;12
1;ABD;1987;11
1;ABD;1988;11
1;ABD;1989;10
1;ABD;1990;19
1;ABD;1991;13
1;ABD;1992;12
1;ABD;1993;10
1;ABD;1994;11
1;ABD;1995;6
1;ABD;1996;8
1;ABD;1997;9
1;ABD;1998;10
1;ABD;1999;7
1;ABD;2000;6
1;ABD;2001;20
1;ABD;2002;8
1;ABD;2003;11
1;ABD;2004;16
1;ABD;2005;17
1;ABD;2006;27
1;ABD;2007;33
1;ABD;2008;34
1;ABD;2009;35
1;ABD;2010;34
1;ABD;2011;37
1;ABD;2012;47
1;ABD;2013;43
1;ABD;2014;49
1;ABD;2015;66
1;ABD;2016;55
1;ABD;2017;48
1;ABD;2018;52
1;ABD;XXXX;3
1;ABD'ALLAH;2009;3
1;ABD'ALLAH;2010;5
1;ABD'ALLAH;2011;6
1;ABD'ALLAH;2012;4
1;ABD'ALLAH;2013;6
1;ABD'ALLAH;2014;5
1;ABD'ALLAH;2015;5
1;ABD'ALLAH;2016;3
1;ABD'ALLAH;XXXX;8
1;ABD-ALLAH;2000;6
1;ABD-ALLAH;2001;3
1;ABD-ALLAH;2003;7
1;ABD-ALLAH;2004;7
1;ABD-ALLAH;2005;5
1;ABD-ALLAH;2007;4
1;ABD-ALLAH;2008;4
1;ABD-ALLAH;2009;6
1;ABD-ALLAH;2010;11
1;ABD-ALLAH;2011;14
1;ABD-ALLAH;2012;8
1;ABD-ALLAH;2013;10
1;ABD-ALLAH;2014;12
1;ABD-ALLAH;2015;12
1;ABD-ALLAH;2016;9
1;ABD-ALLAH;2017;8
1;ABD-ALLAH;2018;4
1;ABD-ALLAH;XXXX;21
1;ABD-EL;1946;3
1;ABD-EL;1947;5
1;ABD-EL;1949;7
1;ABD-EL;1950;3
1;ABD-EL;1951;12
1;ABD-EL;1952;14
1;ABD-EL;1953;11
1;ABD-EL;1954;14
1;ABD-EL;1955;16
1;ABD-EL;1956;27
1;ABD-EL;1957;27
1;ABD-EL;1958;17
1;ABD-EL;1959;12
1;ABD-EL;1960;22
1;ABD-EL;1961;16
1;ABD-EL;1962;27
1;ABD-EL;1963;18
1;ABD-EL;1964;20
1;ABD-EL;1965;16
1;ABD-EL;1966;16
1;ABD-EL;1967;20
1;ABD-EL;1968;15
1;ABD-EL;1969;14
1;ABD-EL;1970;16
1;ABD-EL;1971;9
1;ABD-EL;1972;6
1;ABD-EL;1973;8
1;ABD-EL;1974;9
1;ABD-EL;1975;5
1;ABD-EL;1976;11
1;ABD-EL;1977;8
1;ABD-EL;1979;4
1;ABD-EL;1980;3
1;ABD-EL;1981;5
1;ABD-EL;1982;4
1;ABD-EL;1983;3
1;ABD-EL;1984;3
1;ABD-EL;1986;4
1;ABD-EL;1987;3
1;ABD-EL;1988;3
1;ABD-EL;1989;5
1;ABD-EL;1990;4
1;ABD-EL;2009;3
1;ABD-EL;XXXX;13
1;ABD-EL-KADER;1961;3
1;ABD-EL-KADER;1964;3
1;ABD-EL-KADER;1969;3
1;ABD-EL-KADER;XXXX;38
1;ABD-EL-KRIM;1958;3
1;ABD-EL-KRIM;1959;3
1;ABD-EL-KRIM;XXXX;15
1;ABD-EL-RAHMAN;2004;3
1;ABD-EL-RAHMAN;2016;3
1;ABD-EL-RAHMAN;XXXX;15
1;ABD-RAHMAN;2009;4
1;ABD-RAHMAN;2012;3
1;ABD-RAHMAN;2013;3
1;ABD-RAHMAN;2014;4
1;ABD-RAHMAN;2015;5
1;ABD-RAHMAN;2016;5
1;ABD-RAHMAN;XXXX;13
1;ABD-SAMAD;1988;4
1;ABD-SAMAD;XXXX;20
1;ABDALA;1957;3
1;ABDALA;1964;7
1;ABDALA;1965;3
1;ABDALA;1969;3
1;ABDALA;1974;5
1;ABDALA;1975;3
1;ABDALA;XXXX;50
1;ABDALAH;1951;3
1;ABDALAH;1953;4
1;ABDALAH;1955;5
1;ABDALAH;1956;5
1;ABDALAH;1958;3
1;ABDALAH;1959;3
1;ABDALAH;1962;3
1;ABDALAH;1963;5
1;ABDALAH;1964;6
1;ABDALAH;1966;8
1;ABDALAH;1967;6
1;ABDALAH;1968;5
1;ABDALAH;1969;5
1;ABDALAH;1970;6
1;ABDALAH;1972;5
1;ABDALAH;1973;9
1;ABDALAH;1974;3
1;ABDALAH;1975;7
1;ABDALAH;1976;3
1;ABDALAH;1978;3
1;ABDALAH;1979;6
1;ABDALAH;1980;3
1;ABDALAH;1981;8
1;ABDALAH;1982;6
1;ABDALAH;1983;10
1;ABDALAH;1984;3
1;ABDALAH;1986;3
1;ABDALAH;1991;3
1;ABDALAH;2001;3
1;ABDALAH;2004;5
1;ABDALAH;2005;3
1;ABDALAH;2006;5
1;ABDALAH;2011;3
1;ABDALAH;2013;6
1;ABDALAH;2014;3
1;ABDALAH;2018;4
1;ABDALAH;XXXX;48
1;ABDALAYE;2004;3
1;ABDALAYE;2013;3
1;ABDALAYE;XXXX;28
1;ABDALHA;1964;3
1;ABDALHA;1970;4
1;ABDALHA;1973;3
1;ABDALHA;XXXX;18
1;ABDALLA;1948;3
1;ABDALLA;1957;3
1;ABDALLA;1963;4
1;ABDALLA;1965;3
1;ABDALLA;1968;4
1;ABDALLA;1973;4
1;ABDALLA;1976;3
1;ABDALLA;1988;3
1;ABDALLA;2017;4
1;ABDALLA;XXXX;51
1;ABDALLAH;1947;4
1;ABDALLAH;1948;6
1;ABDALLAH;1949;10
1;ABDALLAH;1950;7
1;ABDALLAH;1951;8
1;ABDALLAH;1952;12
1;ABDALLAH;1953;17
1;ABDALLAH;1954;20
1;ABDALLAH;1955;24
1;ABDALLAH;1956;20
1;ABDALLAH;1957;25
1;ABDALLAH;1958;26
1;ABDALLAH;1959;29
1;ABDALLAH;1960;35
1;ABDALLAH;1961;41
1;ABDALLAH;1962;50
1;ABDALLAH;1963;47
1;ABDALLAH;1964;56
1;ABDALLAH;1965;63
1;ABDALLAH;1966;66
1;ABDALLAH;1967;63
1;ABDALLAH;1968;56
1;ABDALLAH;1969;58
1;ABDALLAH;1970;68
1;ABDALLAH;1971;57
1;ABDALLAH;1972;52
1;ABDALLAH;1973;68
1;ABDALLAH;1974;51
1;ABDALLAH;1975;64
1;ABDALLAH;1976;52
1;ABDALLAH;1977;48
1;ABDALLAH;1978;34
1;ABDALLAH;1979;38
1;ABDALLAH;1980;49
1;ABDALLAH;1981;49
1;ABDALLAH;1982;67
1;ABDALLAH;1983;43
1;ABDALLAH;1984;55
1;ABDALLAH;1985;48
1;ABDALLAH;1986;45
1;ABDALLAH;1987;46
1;ABDALLAH;1988;43
1;ABDALLAH;1989;52
1;ABDALLAH;1990;35
1;ABDALLAH;1991;34
1;ABDALLAH;1992;34
1;ABDALLAH;1993;43
1;ABDALLAH;1994;35
1;ABDALLAH;1995;34
1;ABDALLAH;1996;34
1;ABDALLAH;1997;41
1;ABDALLAH;1998;48
1;ABDALLAH;1999;72
1;ABDALLAH;2000;68
1;ABDALLAH;2001;70
1;ABDALLAH;2002;93
1;ABDALLAH;2003;103
1;ABDALLAH;2004;107
1;ABDALLAH;2005;137
1;ABDALLAH;2006;134
1;ABDALLAH;2007;134
1;ABDALLAH;2008;168
1;ABDALLAH;2009;166
1;ABDALLAH;2010;184
1;ABDALLAH;2011;187
1;ABDALLAH;2012;203
1;ABDALLAH;2013;251
1;ABDALLAH;2014;265
1;ABDALLAH;2015;302
1;ABDALLAH;2016;258
1;ABDALLAH;2017;247
1;ABDALLAH;2018;237
1;ABDARAHIM;1978;3
1;ABDARAHIM;XXXX;18
1;ABDARAHMAN;2012;4
1;ABDARAHMAN;2016;3
1;ABDARAHMAN;XXXX;27
1;ABDARAHMANE;2010;3
1;ABDARAHMANE;2014;3
1;ABDARAHMANE;2017;4
1;ABDARAHMANE;XXXX;23
1;ABDARRAHMAN;2006;3
1;ABDARRAHMAN;2010;3
1;ABDARRAHMAN;2014;4
1;ABDARRAHMAN;2015;10
1;ABDARRAHMAN;2016;4
1;ABDARRAHMAN;2018;3
1;ABDARRAHMAN;XXXX;11
1;ABDASSAMAD;1985;3
1;ABDASSAMAD;XXXX;23
1;ABDE;1960;3
1;ABDE;1965;4
1;ABDE;1969;6
1;ABDE;1971;5
1;ABDE;1972;3
1;ABDE;1974;5
1;ABDE;1975;4
1;ABDE;1976;7
1;ABDE;1977;5
1;ABDE;1978;3
1;ABDE;1979;4
1;ABDE;1980;4
1;ABDE;1981;4
1;ABDE;1982;3
1;ABDE;1983;15
1;ABDE;1984;5
1;ABDE;1986;5
1;ABDE;1989;5
1;ABDE;1990;4
1;ABDE;1991;4
1;ABDE;2002;4
1;ABDE;2006;5
1;ABDE;2008;4
1;ABDE;2009;5
1;ABDE;2010;5
1;ABDE;2012;3
1;ABDE;2013;5
1;ABDE;2015;3
1;ABDE;2016;8
1;ABDE;2017;5
1;ABDE;XXXX;38
1;ABDEL;1947;6
1;ABDEL;1948;7
1;ABDEL;1949;5
1;ABDEL;1950;9
1;ABDEL;1951;15
1;ABDEL;1952;17
1;ABDEL;1953;23
1;ABDEL;1954;38
1;ABDEL;1955;34
1;ABDEL;1956;43
1;ABDEL;1957;54
1;ABDEL;1958;55
1;ABDEL;1959;73
1;ABDEL;1960;77
1;ABDEL;1961;77
1;ABDEL;1962;82
1;ABDEL;1963;89
1;ABDEL;1964;68
1;ABDEL;1965;74
1;ABDEL;1966;72
1;ABDEL;1967;70
1;ABDEL;1968;82
1;ABDEL;1969;73
1;ABDEL;1970;76
1;ABDEL;1971;76
1;ABDEL;1972;79
1;ABDEL;1973;92
1;ABDEL;1974;92
1;ABDEL;1975;64
1;ABDEL;1976;55
1;ABDEL;1977;76
1;ABDEL;1978;97
1;ABDEL;1979;84
1;ABDEL;1980;73
1;ABDEL;1981;103
1;ABDEL;1982;100
1;ABDEL;1983;94
1;ABDEL;1984;100
1;ABDEL;1985;90
1;ABDEL;1986;79
1;ABDEL;1987;82
1;ABDEL;1988;84
1;ABDEL;1989;70
1;ABDEL;1990;64
1;ABDEL;1991;47
1;ABDEL;1992;50
1;ABDEL;1993;73
1;ABDEL;1994;52
1;ABDEL;1995;45
1;ABDEL;1996;53
1;ABDEL;1997;50
1;ABDEL;1998;35
1;ABDEL;1999;55
1;ABDEL;2000;65
1;ABDEL;2001;52
1;ABDEL;2002;59
1;ABDEL;2003;67
1;ABDEL;2004;58
1;ABDEL;2005;59
1;ABDEL;2006;59
1;ABDEL;2007;60
1;ABDEL;2008;54
1;ABDEL;2009;67
1;ABDEL;2010;54
1;ABDEL;2011;51
1;ABDEL;2012;80
1;ABDEL;2013;64
1;ABDEL;2014;70
1;ABDEL;2015;72
1;ABDEL;2016;49
1;ABDEL;2017;71
1;ABDEL;2018;49
1;ABDEL;XXXX;2
1;ABDEL-AKIM;1968;4
1;ABDEL-AKIM;1970;4
1;ABDEL-AKIM;1972;3
1;ABDEL-AKIM;1974;4
1;ABDEL-AKIM;1975;4
1;ABDEL-AKIM;1990;3
1;ABDEL-AKIM;1993;4
1;ABDEL-AKIM;1994;5
1;ABDEL-AKIM;1999;3
1;ABDEL-AKIM;2011;3
1;ABDEL-AKIM;XXXX;45
1;ABDEL-ALI;1968;3
1;ABDEL-ALI;1976;4
1;ABDEL-ALI;1977;7
1;ABDEL-ALI;1980;3
1;ABDEL-ALI;1981;5
1;ABDEL-ALI;1983;3
1;ABDEL-ALI;1986;3
1;ABDEL-ALI;1993;6
1;ABDEL-ALI;1994;3
1;ABDEL-ALI;1995;3
1;ABDEL-ALI;1996;3
1;ABDEL-ALI;1999;6
1;ABDEL-ALI;2000;3
1;ABDEL-ALI;2001;4
1;ABDEL-ALI;2005;3
1;ABDEL-ALI;2008;4
1;ABDEL-ALI;2009;3
1;ABDEL-ALI;2015;3
1;ABDEL-ALI;XXXX;35
1;ABDEL-AZIZ;1959;3
1;ABDEL-AZIZ;1960;5
1;ABDEL-AZIZ;1962;5
1;ABDEL-AZIZ;1964;7
1;ABDEL-AZIZ;1966;4
1;ABDEL-AZIZ;1970;3
1;ABDEL-AZIZ;1974;7
1;ABDEL-AZIZ;1975;4
1;ABDEL-AZIZ;1977;6
1;ABDEL-AZIZ;1979;3
1;ABDEL-AZIZ;1980;5
1;ABDEL-AZIZ;1981;5
1;ABDEL-AZIZ;1982;9
1;ABDEL-AZIZ;1983;5
1;ABDEL-AZIZ;1984;4
1;ABDEL-AZIZ;1985;4
1;ABDEL-AZIZ;1986;3
1;ABDEL-AZIZ;1987;7
1;ABDEL-AZIZ;1988;4
1;ABDEL-AZIZ;1989;3
1;ABDEL-AZIZ;1990;5
1;ABDEL-AZIZ;1991;6
1;ABDEL-AZIZ;1992;3
1;ABDEL-AZIZ;1995;7
